text,user_id_hashed,war,ua,ru,datetime,media
Поздравляю всех соотечественников с этим мудрым и важным шагом нашего уважаемого Президента! Ура!!!!!,db6019f3196a52af0329789cb61d3317,8.6470067e-07,0.0013791375,0.99862087,2022-02-21 22:09:51,Radio KP
Бирюково. ЛНР.,4b0ed9d214c1fd047553b4ccb15c258e,0.9999813,0.00011066522,0.9998894,2022-02-22 01:30:39,Radio KP
"простой вопрос - а Конфедерацию Новороссия, образованную 24-ого июня 2014-ого года, уже полностью похерели?",4b0ed9d214c1fd047553b4ccb15c258e,0.9999813,0.00011066522,0.9998894,2022-02-22 03:42:50,Radio KP
МАРАЗМ.,fa70132a6b971e3aaaf580629f76b435,0.9996061,0.4131245,0.58687556,2022-02-22 06:09:17,Radio KP
"Браво,Владимир Владимирович!!!",e0f012194a4ff9dd2e84b698d582c9bb,0.9999939,0.0013586683,0.9986413,2022-02-22 07:21:49,Radio KP
быстро как то всего то 8 лет прошло,6b6f26a304daf2513e0cbc6993e31cd1,5.301873e-06,0.036441736,0.96355826,2022-02-22 11:12:17,Radio KP
"[iddb6019f3196a52af0329789cb61d3317|Алексей], а что это дало?признали их республиками и...)",b9a507783fa30e5cbb955a6fc2efdcb2,0.99981266,0.09110389,0.90889615,2022-02-22 03:19:30,Radio KP
"[idb9a507783fa30e5cbb955a6fc2efdcb2|Иришка], теперь Россия может официально вводить войска для защиты этих республик! Т.к. они подписали договор о поддержке в сфере обороны!",59f32bdab4fba34d57ba5c36eae38397,0.9999447,0.14079165,0.85920835,2022-02-22 03:53:20,Radio KP
"[id59f32bdab4fba34d57ba5c36eae38397|Сергей], Что народ России от этого выиграл?",060868400350d74bbae6360c631ee341,0.00011932267,0.15539725,0.84460276,2022-02-22 17:32:30,Radio KP
"[id060868400350d74bbae6360c631ee341|Павел], ничего!😔",59f32bdab4fba34d57ba5c36eae38397,0.9999447,0.14079165,0.85920835,2022-02-22 17:33:05,Radio KP
"[id060868400350d74bbae6360c631ee341|Павел], защиту беззащитных и неспособных воевать. Когда прийдут к нам с ружьём. Не думаю что каждый поставит на фронт своих детей и жён.",7c8aa2d5ae921b1f5a48cd83e7353f00,0.9999856,0.00031343984,0.9996866,2022-02-22 18:20:51,Radio KP
Горжусь нашим президентом),e94984ae03461381c20702524be89fe1,0.99835813,4.9277656e-05,0.99995077,2022-02-21 21:27:07,Radio KP
"Декоммунизация-это нищета,платная медицина,платное образование,12-часовой рабочий день,нищенская зарплата,нищенские пенсии в 9249 руб.,безработица и отсутствие социальных лифтов.Гордиться не чем.",786aa554d1184916f96d5cfa4fca771a,0.99999475,0.9999442,5.58075e-05,2022-02-22 05:34:22,Radio KP
Давно пора!,c7034ad0956021586fb9762166290b0a,0.99999607,7.67086e-05,0.9999232,2022-02-22 07:45:55,Radio KP
Блин объясните кто нибудь что это вообще значит🤔,96547c3dd229dbe74033e4799f739f39,0.9961228,0.0061161425,0.99388385,2022-02-22 14:09:14,Radio KP
"как изменится ситуация, если ""деда"" съедят...",d944c81f1a8b4738e6d30a1ef4eb5d07,0.99999106,0.3234553,0.67654467,2022-03-08 15:15:43,Radio KP
не отвлекайтесь!!! шпионте как следует!!!,aac7656eadec2b1833037626c89949db,0.9999956,7.627243e-05,0.9999237,2022-03-08 14:03:15,Radio KP
"И еще заодно 8 марта (и советский космос cyclowiki.org/wiki/Евреи_в_космонавтике ) во многом придумали евреи. А вот кто празднует 8 марта (и летает в космос) больше других, так это уже русский народ. И а почему женщина не может стать священником? Ну так а тогда а почему мужчина не может родить? И во многих из религиозных структур с глубокой древности существует традиция, что женщины их не должны посещать в мужской одежде. Однако где женщины юбки не носят совсем, так это уже прежде всего в космосе (и это не грех, что их там не носят). И изначально 8 марта было во многом не таким, каким потом оно видоизменилось- изначально это было связано и с борьбой за равноправие и революционерками и в этом было многовато политики isralove.org/load/10-1-0-2875 Но то, каким оно стало потом- оно по-моему в самый раз было видоизменено и оптимизировано.",c1dfb2802e3e0c4439c7463382e9bea9,0.9999963,0.46083647,0.5391636,2022-03-08 17:04:22,Radio KP
Этот кризис жанра,0c55e4132e032350a9b36ab37b3332a4,0.99999547,0.008232305,0.9917677,2022-03-08 13:47:11,Radio KP
пока они их найдут ситуация усугубится во много раз,5dd2f6577459a053110cf713cc0afacb,0.999984,0.69229984,0.30770016,2022-03-08 11:07:32,Radio KP
