text,user_id_hashed,war,ua,ru,datetime,media
"Любой из нас, кто не двуногий скот,  Не сомневаюсь, ясно представляет  Вдов безутешных вопли и сирот,  И то как населенье обнищает.    Но если лишь войне сквозь шовинизм  Дано изжить плешивого уродца  И сокрушить навеки путинизм,  То может чёрт с ней... пусть она начнётся?",c22ee1ebdc7e97e5bc985baf673ae47f,0.9999962,0.00079814665,0.99920183,2022-02-22 17:04:00,Novaja gazeta
"Восстановление инфраструктуры ДНР и ЛНР потребует около 1,5 триллиона рублей на три года — сенатор Рябухин    великий распил бабла начинается",b7d1a0527e4ce6b7eae98b234e457d49,0.9999963,0.00016845191,0.9998316,2022-02-22 16:50:00,Novaja gazeta
Встречаем гробы!,c54df506a48ef6b59b27382760e519e4,0.9999958,0.48930153,0.5106985,2022-02-22 16:50:52,Novaja gazeta
"Добро, лять",1fe057a690456cc2cbfdeef9b7c0f41c,0.9999944,5.7523368e-05,0.9999424,2022-02-22 16:51:22,Novaja gazeta
"Лднр признаны в границах которые они контролируют, а не в границах этих областей",7d64c40d6093128c813ec6f1e4463ac8,0.9999962,0.026731545,0.9732685,2022-02-22 16:51:32,Novaja gazeta
Ну это война скорее всего. Пойдут освобождать признанную территорию...,c817bec2523280ab82136665e9821a76,0.99999654,0.9999403,5.9726684e-05,2022-02-22 16:51:51,Novaja gazeta
пуйло забил такой огромный гвоздь в крышку гроба этих соглашений,e7ae1fa11dc2a3aaae5d515c514fe6b1,0.9999964,0.39711615,0.6028839,2022-02-22 16:55:44,Novaja gazeta
"А если коротко-бандерлоги,хавайтесь!))",c8690b4ae9169d88d548fc3a4e6844f6,0.99999547,9.8628254e-05,0.9999014,2022-02-22 16:56:30,Novaja gazeta
Доскакались хуторяне,a2ba53c4ff10bddded88986bf91081cf,0.99989235,6.18383e-05,0.99993813,2022-02-22 16:57:28,Novaja gazeta
Пора очистить землю Донбасса от нечисти,548bb91d1abc0680debe4543ac232fce,0.9999962,5.268056e-05,0.9999473,2022-02-22 16:58:38,Novaja gazeta
"[id1fe057a690456cc2cbfdeef9b7c0f41c|Андрей], я тоже орнул",7f65c4a803b541bf8dab27c8eff0ce6c,0.99987507,0.017202761,0.98279727,2022-02-22 16:53:17,Novaja gazeta
